iter	Passed	Remaining
399	17278	25918
400	17323	25877
401	17361	25826
402	17389	25760
403	17420	25699
404	17458	25649
405	17493	25593
406	17528	25538
407	17567	25490
408	17599	25431
409	17633	25374
410	17662	25311
411	17692	25250
412	17720	25185
413	17752	25127
414	17842	25150
415	17906	25137
416	17933	25072
417	17961	25008
418	17989	24944
419	18017	24881
420	18044	24815
421	18073	24754
422	18130	24731
423	18177	24694
424	18206	24631
425	18241	24578
426	18268	24515
427	18295	24451
428	18331	24399
429	18401	24392
430	18446	24352
431	18502	24326
432	18582	24333
433	18639	24309
434	18672	24252
435	18725	24223
436	18788	24205
437	18849	24185
438	18915	24172
439	18970	24144
440	19020	24110
441	19052	24052
442	19079	23989
443	19108	23928
444	19138	23869
445	19167	23808
446	19196	23749
447	19225	23688
448	19258	23633
449	19285	23571
450	19313	23510
451	19347	23457
452	19406	23433
453	19469	23414
454	19517	23377
455	19578	23356
456	19634	23328
457	19682	23292
458	19715	23237
459	19781	23221
460	19860	23221
461	19918	23195
462	19979	23173
463	20038	23147
464	20101	23127
465	20171	23114
466	20235	23095
467	20304	23081
468	20368	23061
469	20428	23036
470	20478	23000
471	20525	22960
472	20561	22908
473	20595	22855
474	20622	22793
475	20648	22731
476	20675	22669
477	20704	22610
478	20734	22552
479	20765	22496
480	20793	22435
481	20819	22374
482	20846	22314
483	20873	22253
484	20904	22197
485	20937	22143
486	20964	22083
487	20990	22023
488	21022	21968
489	21053	21913
490	21083	21856
491	21114	21800
492	21144	21744
493	21173	21687
494	21203	21631
495	21239	21582
496	21273	21530
497	21306	21477
498	21336	21421
499	21377	21377
500	21427	21341
501	21485	21314
502	21514	21257
503	21545	21203
504	21577	21150
505	21609	21097
506	21646	21048
507	21683	21000
508	21719	20951
509	21752	20899
510	21784	20846
511	21826	20803
512	21854	20747
513	21884	20691
514	21921	20644
515	21962	20600
516	22001	20554
517	22068	20534
518	22105	20486
519	22132	20429
520	22172	20384
521	22198	20327
522	22228	20273
523	22265	20226
524	22293	20170
525	22324	20117
526	22352	20061
527	22380	20006
528	22408	19951
529	22436	19896
530	22464	19841
531	22491	19785
532	22518	19730
533	22545	19674
534	22573	19619
535	22603	19567
536	22636	19516
537	22663	19462
538	22691	19407
539	22718	19353
540	22751	19302
541	22781	19250
542	22809	19197
543	22839	19144
544	22868	19091
545	22895	19037
546	22923	18984
547	22951	18931
548	22982	18879
549	23009	18825
550	23036	18772
551	23071	18724
